street,crimes during out,crimes in buffer,rate,long,lat
1000 W FULLERTON AVE,0,2,0.0,-87.65361258338484,41.92537580597843
1000 W GARFIELD BLVD,0,4,0.0,-87.65001637308849,41.794239757925574
1000 W GEORGE ST,0,3,0.0,-87.65392096300067,41.934452559227346
1000 W IRVING PARK RD,0,4,0.0,-87.65454473806881,41.954488376672714
1000 W LAKE ST,0,1,0.0,-87.65214049867468,41.885584026219966
1000 W ROOSEVELT RD,0,1,0.0,-87.65104650950468,41.86708733232685
1000 W TILDEN ST,0,2,0.0,-87.65185991040765,41.87600649047616
10000 S COMMERCIAL AVE,0,1,0.0,-87.55094749977751,41.713387078461594
10000 S EWING AVE,0,1,0.0,-87.53527612832875,41.713889127456724
10001 S EWING AVE,0,1,0.0,-87.53527609892504,41.71380268134509
10005 S STATE ST,0,2,0.0,-87.62362869117365,41.71247930189375
1001 W GARFIELD BLVD,0,1,0.0,-87.65000959169069,41.793870359257866
10010 S PARNELL AVE,0,1,0.0,-87.63690691459524,41.712281710789256
10013 S PEORIA ST,0,1,0.0,-87.64539908939362,41.712105197413
10019 S INDIANA AVE,1,2,0.5,-87.61876057835016,41.71235438401108
1002 S DESPLAINES ST,0,2,0.0,-87.64373986483793,41.86968062047008
10023 S PERRY AVE,0,2,0.0,-87.62602778189367,41.71217387953542
10030 S LA SALLE ST,0,2,0.0,-87.62723127349713,41.71203076553787
10030 S PRAIRIE AVE,0,1,0.0,-87.61754061151713,41.712171120156896
10035 S EBERHART AVE,0,3,0.0,-87.61146035140209,41.712175744176704
1004 N HOYNE AVE,0,4,0.0,-87.6796035581362,41.89962674967852
1004 W CULLERTON ST,0,3,0.0,-87.65166168037743,41.855268639460824
10043 S DR MARTIN LUTHER KING JR DR,0,1,0.0,-87.61389636951985,41.71183181073585
10044 S AVENUE L,0,1,0.0,-87.53648654341877,41.7130298790042
10046 S RHODES AVE,0,2,0.0,-87.6102386542047,41.711992191252676
10051 S LA SALLE ST,0,2,0.0,-87.62722240713188,41.71164505076365
10056 S YATES AVE,0,1,0.0,-87.56457297742931,41.71249885405854
10059 S RHODES AVE,0,2,0.0,-87.61023255516892,41.7117527438931
10059 S VERNON AVE,0,2,0.0,-87.61266693991783,41.711704685213725
101 S CLINTON ST,0,1,0.0,-87.6411528648051,41.88055489502583
1010 W ARDMORE AVE,0,1,0.0,-87.65571041255322,41.9873495689976
10100 S INDIANA AVE,0,2,0.0,-87.61872735615343,41.71088258797871
10100 S VERNON AVE,0,2,0.0,-87.6126461158143,41.71097868159888
10100 S WOOD ST,0,1,0.0,-87.66721094656776,41.71003799974189
10107 S WESTERN AVE,0,1,0.0,-87.68172717115011,41.70989258673345
10108 S MORGAN ST,0,2,0.0,-87.64778681927072,41.710358739541306
1011 N LEAMINGTON AVE,0,2,0.0,-87.75446877591652,41.898796660865976
10115 S OGLESBY AVE,0,2,0.0,-87.56576670431427,41.711420415756976
10117 S EBERHART AVE,0,2,0.0,-87.61142044770561,41.710684705370994
10133 S OGLESBY AVE,0,2,0.0,-87.56576184240429,41.71109024181817
